ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
16.63.207.85,80,CH,Switzerland,Zurich,,,,,HTTP,Anonymous,91,500,2026-08-13T04:12:04Z
185.18.250.156,80,CH,Switzerland,,,,,,HTTP,Anonymous,84,20,2026-08-13T04:12:04Z
185.18.250.22,80,CH,Switzerland,,,,,,HTTP,Anonymous,89,20,2026-08-13T04:12:03Z
