ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
195.85.23.103,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-09T06:22:04Z
195.85.23.221,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-09T06:22:03Z
195.85.23.229,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-09T06:22:02Z
195.85.23.227,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-09T06:22:02Z
195.85.23.137,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-09T06:22:02Z
