ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
173.245.49.179,80,FR,France,Paris,,,,,HTTP,Anonymous,88,0,2026-06-30T06:16:03Z
173.245.49.119,80,FR,France,Paris,,,,,HTTP,Anonymous,91,20,2026-06-30T06:16:03Z
173.245.49.154,80,FR,France,Paris,,,,,HTTP,Anonymous,88,20,2026-06-30T06:16:01Z
173.245.49.222,80,FR,France,Paris,,,,,HTTP,Anonymous,88,20,2026-06-30T06:16:01Z
173.245.49.108,80,FR,France,Paris,,,,,HTTP,Anonymous,91,20,2026-06-30T06:15:04Z
173.245.49.163,80,FR,France,Paris,,,,,HTTP,Anonymous,88,20,2026-06-30T06:15:03Z
173.245.49.159,80,FR,France,Paris,,,,,HTTP,Anonymous,88,20,2026-06-30T06:15:03Z
