ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
206.238.239.109,80,SG,Singapore,Singapore,,,,,HTTP,Anonymous,90,80,2026-06-30T06:16:03Z
206.238.238.249,80,SG,Singapore,Singapore,,,,,HTTP,Anonymous,60,20,2026-06-30T06:16:03Z
206.238.237.117,80,SG,Singapore,Singapore,,,,,HTTP,Anonymous,71,60,2026-06-30T06:16:03Z
206.238.237.79,80,SG,Singapore,Singapore,,,,,HTTP,Anonymous,100,60,2026-06-30T06:16:03Z
154.194.12.54,80,SG,Singapore,Singapore,,,,,HTTP,Anonymous,89,60,2026-06-30T06:16:02Z
206.238.238.251,80,SG,Singapore,Singapore,,,,,HTTP,Anonymous,62,60,2026-06-30T06:16:02Z
206.238.237.207,80,SG,Singapore,Singapore,,,,,HTTP,Anonymous,100,20,2026-06-30T06:16:01Z
